,First,Second,Direction,Citation
0,H4K16ac,Epigenetic Alteration,1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,H4K20me3,Epigenetic Alteration,1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,H3K4me3,Epigenetic Alteration,1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,H3K9me,Epigenetic Alteration,-1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,H3K27me3,Epigenetic Alteration,-1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,HP1a,Epigenetic Alteration,-1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,NuRD,Epigenetic Alteration,-1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,LMNA,Genomic Instability,-1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,Genomic Instability,mtDNA,-1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,Shelterin,Telomere Attrition,1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,HSF1,Loss of Proteostasis,-1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,LMNA,p53,-1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,SIRT6,HK39 deacetylation,1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,SIRT6,IGF-1,-1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,SIRT1,Hsp7,1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,Hsp7,Autophagy,1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,LAMP2a,Autophagy,1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,mTOR,Autophagy,-1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,Autophagy,Loss of Proteostasis,-1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,GH,IGF-1,1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,IGF-1,PI3K,1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,PTEN,PI3K,-1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,PI3K,Akt,1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
0,Akt,mTOR,1,http://www.cell.com/cell/pdf/S0092-8674(13)00645-4.pdf
