,First,Second,Direction
0,Genomic Instability,Mitochondrial Mutations,1
0,Genomic Instability,Stem Cell Exhaustion,1
0,Cellular Senescence,Altered Intercellular Communication,1
0,Cellular Senescence,Mitochondrial Mutations,1
0,Cellular Senescence,Genomic Instability,1
0,Cellular Senescence,Loss of Proteostasis,1
0,Cellular Senescence,Dysregulated Nutrient Sensing,1
0,Cellular Senescence,Stem Cell Exhaustion,1
0,Cellular Senescence,Telomere Attrition,1
0,Genomic Instability,Mitochondrial Mutations,1
